step,train_kl,validation_ce,validation_ppl
0,,6.0686405043866545,432.0928537511067
1,4.828610420227051,5.855140101690187,349.02379545239995
20,3.7914342880249023,4.616562753416519,101.14577098695814
40,2.796680450439453,4.224176457675599,68.31821743115714
60,2.460935592651367,3.9805923729301584,53.5487456614401
80,2.3998472690582275,3.8070190140749816,45.01604645401524
100,2.232642412185669,3.6832888693450796,39.77700053875513
120,2.133556842803955,3.6058608026814025,36.81335926051512
140,1.9458224773406982,3.515990889815056,33.64925411309013
160,1.9479740858078003,3.452098896244664,31.566577797809828
180,1.9654985666275024,3.3998215841073063,29.958754452622006
200,2.2804770469665527,3.3468395407142606,28.412794114527472
